Код;Наименование;Иерархия;Артикул;Количество;Цена;Бренд;ИмяФайлаИзображения;Новинка;HAPPY_МОЛЛОстаток;ГлобусОстаток;ЛазурныйОстаток;ОранжевыйОстаток;ПассажОстаток;ТауОстаток;ЗаказОстаток;10 летняя батарея;Bluetooth;Барометр\альтиметр;Браслет;Будильник;Включение,отключение звука кнопок;Водозащита;Грязеустойчивость;Дополнительно;Индикатор приливов и отливов;Индикатор уровня заряда аккумулятора;Компас;Материал корпуса;Мелодия;Мировое время;Отображение данных о Луне;Пол;Прием радиосигнала точного времени;Размер корпуса;Резерв хода;Сверх яркая подсветка;Связь со смартфоном;Скидка;Солнечная батарея;Стекло;Страна бренда;Страна производитель;Таймер;Таймер рыбалки;Термометр;Тип механизма;Ударопрочность;Устойчивость к воздействию магнитного поля;Форма корпуса;Функция поиска телефона;Функция секундомера;Хит продаж;Ход стрелки;Хронограф;Циферблат;Шагомер;ЦенаСоСкидкой;
Ц0000017141;GA-2000WM-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2000WM-1A;1;13900;Casio (Япония);GA-2000WM-1A.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;49;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13900;
СТ000003497;GA-200BW-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-200BW-1A;1;13190;Casio (Япония);GA-200BW-1A.jpg;0;0;0;1;0;0;0;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;55;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13190;
СТ000003280;GA-201-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-201-1A;2;16990;Casio (Япония);GA-201-1A.jpg;0;0;1;0;0;0;1;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;55;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;16990;
Ц0000014737;GA-2100-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-1A;5;13990;Casio (Япония);GA-2100-1A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000017307;GA-2100-1A1 Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-1A1;5;13990;Casio (Япония);GA-2100-1A1.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000021353;GA-2100-1A3 Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-1A3;4;13990;Casio (Япония);GA-2100-1A3.jpg;0;1;0;1;0;1;1;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000021246;GA-2100-1A4 Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-1A4;4;13990;Casio (Япония);GA-2100-1A4.jpg;0;1;1;1;0;0;1;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;48;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;;;;есть;Комбинированный;;13990;
Ц0000019250;GA-2100-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-2A;5;13990;Casio (Япония);GA-2100-2A .jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Минеральное;Япония;;;;есть;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000017308;GA-2100-4A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-4A;3;13990;Casio (Япония);GA-2100-4A.jpg;0;0;0;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000020217;GA-2100-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100-7A;3;14990;Casio (Япония);GA-2100-7A.jpg;0;0;0;1;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14990;
Ц0000020455;GA-2100BP-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100BP-1A;1;13990;Casio (Япония);GA-2100BP-1A.jpg;0;0;0;0;0;0;1;0;;;;Полиуретановый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;;Круг;;есть;;;;Комбинированный;;13990;
Ц0000020006;GA-2100CA-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100CA-8A;4;13990;Casio (Япония);GA-2100CA-8A.jpg;0;1;0;1;0;1;1;0;;;;Полиуретановый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;Япония;есть;;;Кварцевый;есть;;Круг;;есть;;;;Стрелочный;;13990;
Ц0000019469;GA-2100FR-5A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100FR-5A;1;14990;Casio (Япония);GA-2100FR-5A .jpg;0;0;0;0;0;0;1;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;;;14990;
Ц0000021732;GA-2100NN-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100NN-1A;1;16990;Casio (Япония);;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16990;
Ц0000022486;GA-2100PTS-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100PTS-2A;1;14550;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14550;
Ц0000021728;GA-2100PTS-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100PTS-8A;2;16490;Casio (Япония);GA-2100PTS-8A.jpg;1;0;1;0;0;0;1;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик, карбон;;;;Мужские;;48;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Бочка;;;;;есть;Комбинированный;;16490;
Ц0000022487;GA-2100RGB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100RGB-1A;1;13790;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13790;
Ц0000018398;GA-2100SKE-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100SKE-7A;5;14990;Casio (Япония);GA-2100SKE-7A .jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик, карбон;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;;;14990;
Ц0000016805;GA-2100SU-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100SU-1A;5;13990;Casio (Япония);GA-2100SU-1A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик, карбон;;;;Мужские;;Большой;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Круг;;;;;;Комбинированный;;13990;
Ц0000019446;GA-2100VB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2100VB-1A;5;13990;Casio (Япония);GA-2100VB-1A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;;;13990;
Ц0000018607;GA-2110ET-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2110ET-2A;2;14990;Casio (Япония);GA-2110ET-2A.jpg;0;1;0;0;0;1;0;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик, карбон;;есть;;Мужские;;;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;;;14990;
Ц0000019324;GA-2110ET-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2110ET-8A;2;14990;Casio (Япония);GA-2110ET-8A.jpg;0;1;0;1;0;0;0;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;45;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;;;14990;
Ц0000022488;GA-2110SC-4A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2110SC-4A;1;12250;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12250;
Ц0000017754;GA-2110SU-3A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2110SU-3A;5;14990;Casio (Япония);GA-2110SU-3A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик, карбон;;есть;;Мужские;;45;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;14990;
Ц0000019966;GA-2200-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200-2A;1;15590;Casio (Япония);GA-2200-2A.jpg;0;1;0;0;0;0;0;0;;;;Полиуретановый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;47;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;15590;
Ц0000021308;GA-2200BB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200BB-1A;1;15990;Casio (Япония);GA-2200BB-1A .jpg;0;0;0;0;0;0;1;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;47;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;15990;
Ц0000022489;GA-2200BNR-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200BNR-1A;1;14550;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14550;
Ц0000019447;GA-2200GC-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200GC-7A;2;17990;Casio (Япония);GA-2200GC-7A.jpg;0;0;0;1;0;0;1;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;47;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;;;17990;
Ц0000019967;GA-2200M-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200M-1A;1;15990;Casio (Япония);GA-2200M-1A.jpg;0;1;0;0;0;0;0;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;47;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;15990;
Ц0000022490;GA-2200NN-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200NN-1A;1;16850;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16850;
Ц0000021058;GA-2200SKL-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200SKL-8A;2;16990;Casio (Япония);GA-2200SKL-8A.jpg;0;0;1;0;0;0;1;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;51;;;;;;Минеральное;Япония;;;;;;есть;;Круг;;;;;есть;Комбинированный;;16990;
Ц0000020524;GA-2200SL-5A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200SL-5A;2;16990;Casio (Япония);GA-2200SL-5A.jpg;0;1;0;1;0;0;0;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик;;;;Мужские;;51;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;16990;
Ц0000021309;GA-2200SL-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-2200SL-8A;1;17990;Casio (Япония);GA-2200SL-8A.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;51;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;;;;есть;Комбинированный;;17990;
Ц0000003088;GA-310-4A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-310-4A;1;11290;Casio (Япония);GA-310-4A.jpg;0;0;0;0;0;0;1;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Унисекс;;55;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;11290;
Ц0000004260;GA-400-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-400-1A;1;15990;Casio (Япония);GA-400-1A.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;52;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;;;;есть;Комбинированный;;15990;
Ц0000005321;GA-400-1B Casio;ЧАСЫ/Наручные/Casio (Япония);GA-400-1B;1;15990;Casio (Япония);GA-400-1B.jpg;0;1;0;0;0;0;0;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик;;;;Мужские;;Стандартный;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Круг;;;;;;Комбинированный;;15990;
Ц0000022637;GA-400CM-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-400CM-1A;1;12950;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12950;
Ц0000022491;GA-400HR-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-400HR-1A;1;13790;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13790;
Ц0000009138;GA-500-1A4 Casio;ЧАСЫ/Наручные/Casio (Япония);GA-500-1A4;1;13990;Casio (Япония);GA-500-1A4.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;57;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;;Комбинированный;;13990;
Ц0000022638;GA-500WG-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-500WG-7A;1;11850;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11850;
Ц0000016806;GA-700-1B Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700-1B;4;13490;Casio (Япония);GA-700-1B .jpg;0;1;0;1;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;57;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13490;
Ц0000020477;GA-700-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700-7A;4;13490;Casio (Япония);GA-700-7A.jpg;0;0;1;1;0;1;1;0;;;;Полиуретановый;есть;есть;WR 200m;есть;;;;;Пластик;;есть;;Мужские;;54;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13490;
Ц0000021403;GA-700BNR-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700BNR-1A;4;13490;Casio (Япония);GA-700BNR-1A.jpg;0;0;1;1;0;1;1;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик;;есть;;Мужские;;57;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;;;;есть;Комбинированный;;13490;
Ц0000021884;GA-700BP-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700BP-1A;1;13990;Casio (Япония);GA-700BP-1A.jpg;1;0;0;0;0;0;1;0;;;;Пластиковый;есть;есть;WR 200m;есть;;;;;Пластик;;есть;;Мужские;;54;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000020007;GA-700CA-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700CA-2A C;2;13990;Casio (Япония);GA-700CA-2A.jpg;0;1;1;0;0;0;0;0;;;;Пластиковый;есть;есть;WR 200m;есть;;;;;Пластик;;есть;;Мужские;;53;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000011707;GA-700CM-3A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700CM-3A;1;16990;Casio (Япония);GA-700CM-3A.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;57;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;16990;
Ц0000020478;GA-700DC-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700DC-1A;2;12990;Casio (Япония);GA-700DC-1A.jpg;0;0;0;0;0;1;1;0;;;;Полиуретановый;есть;есть;WR 200m;есть;;;;;Пластик;;;;Мужские;;53;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;12990;
Ц0000021869;GA-700DE-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700DE-2A;1;14990;Casio (Япония);GA-700DE-2A.jpg;1;0;0;1;0;0;0;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;;;Мужские;;57;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;14990;
Ц0000022639;GA-700PC-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700PC-1A;1;11150;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11150;
Ц0000022492;GA-700RGB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700RGB-1A;1;12990;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12990;
Ц0000022493;GA-700SC-3A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700SC-3A;1;10690;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10690;
Ц0000021885;GA-700SKC-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700SKC-1A;2;13990;Casio (Япония);GA-700SKC-1A.jpg;1;0;0;1;0;0;1;0;;;;Полиуретановый;есть;есть;WR 200m;есть;;;;;Пластик;;есть;;Мужские;;54;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000020218;GA-700SKE-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700SKE-7A;5;13990;Casio (Япония);GA-700SKE-7A.jpg;0;1;1;1;0;1;1;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;53;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000015850;GA-700UC-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700UC-8A;3;13990;Casio (Япония);GA-700UC-8A.jpg;0;0;1;0;0;1;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;57;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000019448;GA-700VB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-700VB-1A;1;14990;Casio (Япония);GA-700VB-1A .jpg;0;1;0;0;0;0;0;0;;;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;53;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;;;14990;
Ц0000020551;GA-800DC-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-800DC-1A;1;10990;Casio (Япония);GA-800DC-1A .jpg;0;0;0;1;0;0;0;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик;;;;Мужские;;49;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;10990;
Ц0000021870;GA-800MMC-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-800MMC-1A;1;13990;Casio (Япония);GA-800MMC-1A.jpg;1;1;0;0;0;0;0;0;;;;Пластиковый;есть;есть;WR 200m;есть;;;;;Пластик;;есть;;Мужские;;48;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;есть;Круг;;есть;;;;Комбинированный;;13990;
Ц0000014738;GA-810MMB-1A2 Casio;ЧАСЫ/Наручные/Casio (Япония);GA-810MMB-1A2;0;13490;Casio (Япония);GA-810MMB-1A2.jpg;0;0;0;0;0;0;0;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;54;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;;;;есть;Комбинированный;;13490;
Ц0000016823;GA-900-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-900-1A;2;13990;Casio (Япония);GA-900-1A.jpg;0;1;0;0;0;0;1;0;;;;Пластиковый;есть;;WR 200m;;;;;;Пластик;;есть;;Мужские;;50;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;13990;
Ц0000016739;GA-900-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-900-2A;3;15990;Casio (Япония);GA-900-2A.jpg;0;0;1;1;0;1;0;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;50;;есть;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;15990;
Ц0000020269;GA-900AS-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-900AS-7A;1;16990;Casio (Япония);GA-900AS-7A .jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;;;WR 30m;;;;;;Пластик;;есть;;Мужские;;53;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;16990;
Ц0000018057;GA-900SKE-8A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-900SKE-8A;2;15990;Casio (Япония);GA-900SKE-8A .jpg;0;1;0;0;0;0;1;0;;;;Пластиковый;есть;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;есть;50;;;;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;15990;
Ц0000020479;GA-900SKL-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-900SKL-7A;3;16990;Casio (Япония);GA-900SKL-7A.jpg;0;1;0;1;0;1;0;0;;;;Полиуретановый;есть;есть;WR 200m;есть;;;;;Пластик;;есть;;Мужские;;51;;есть;;;;Минеральное;Япония;Япония;;;;Кварцевый;есть;;Круг;;есть;;;есть;Комбинированный;;16990;
Ц0000022494;GA-900VB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-900VB-1A;1;14550;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14550;
Ц0000021404;GA-B001G-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B001G-1A;2;16990;Casio (Япония);GA-B001G-1A.jpg;0;0;0;1;0;0;1;0;;Есть;;Пластиковый;;есть;WR 200m;;;;;;Пластик;;есть;;Мужские;;42;;;есть;;;Минеральное;Япония;;есть;;;Кварцевый;есть;;Круг;есть;есть;;;;Комбинированный;;16990;
Ц0000022495;GA-B2100-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B2100-1A;1;16050;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16050;
Ц0000020372;GA-B2100-1A1 Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B2100-1A1;1;19990;Casio (Япония);GA-B2100-1A1.jpg;0;0;0;1;0;0;0;0;;Есть;;Пластиковый;;;WR 200m;;;;;;Пластик, карбон;;;;Мужские;;45;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Круг;;;;;;Комбинированный;;19990;
Ц0000022496;GA-B2100-2A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B2100-2A;1;15290;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15290;
Ц0000022497;GA-B2100-3A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B2100-3A;1;15290;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15290;
Ц0000022640;GA-B2100BNR-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B2100BNR-1A;1;16350;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16350;
Ц0000022498;GA-B2100C-9A Casio;ЧАСЫ/Наручные/Casio (Япония);GA-B2100C-9A;1;16050;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16050;
Ц0000022499;GAE-2100WE-3A Casio;ЧАСЫ/Наручные/Casio (Япония);GAE-2100WE-3A;1;21450;Casio (Япония);;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21450;
Ц0000017147;GAW-100B-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GAW-100B-1A;1;17990;Casio (Япония);GAW-100B-1A.jpg;0;0;0;1;0;0;0;0;;;;Пластиковый;;;WR 200m;;;;;;Пластик;;;;Мужские;;Большой;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Круг;;;;;;Комбинированный;;17990;
Ц0000009267;GAX-100B-7A Casio;ЧАСЫ/Наручные/Casio (Япония);GAX-100B-7A;1;11690;Casio (Япония);GAX-100B-7A.jpg;0;0;0;0;0;1;0;0;;;;Пластиковый;есть;есть;WR 200m;;;есть;;;Пластик;;есть;есть;Мужские;;55;;;;;;Минеральное;Япония;;;;есть;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;11690;
Ц0000005322;GBA-400-1A Casio;ЧАСЫ/Наручные/Casio (Япония);GBA-400-1A;2;16990;Casio (Япония);GBA-400-1A.jpg;0;0;0;1;0;1;0;0;;Есть;;Пластиковый;есть;есть;WR 200m;;Bluetooth;;есть;;Пластик;;есть;;Мужские;;55;;;есть;15;;Минеральное;Япония;;есть;;;Кварцевый;есть;есть;Круг;;есть;;;есть;Комбинированный;;14441,5;
